,place_name,participant_count
818,Подвал Бродячей Собаки,1
819,Европейский университет,2
820,ЦСЛК,1
821,ЦСЛК,0
822,Библиотека им. Толстого,1
823,ЦСЛК,1
824,Подвал Бродячей Собаки,0
825,Филологический факультет СПбГУ,1
826,Театр поэтов Послушайте!,3
827,Библиотека им. Толстого,1
828,Подвал Бродячей Собаки,0
829,Борей-Арт,0
830,Библиотека им. Толстого,1
831,ЦСЛК,1
832,Музей Ахматовой,5
833,Подвал Бродячей Собаки,2
834,Европейский университет,2
835,ЦСЛК,1
836,Театр поэтов Послушайте!,5
837,ЦСЛК,1
838,Европейский университет,2
839,Библиотека им. Толстого,0
840,ЦСЛК,0
841,Музей Ахматовой,1
842,Подвал Бродячей Собаки,0
843,Подвал Бродячей Собаки,6
844,Театр поэтов Послушайте!,10
845,Музей Ахматовой,1
846,ЦСЛК,2
847,Борей-Арт,1
848,Библиотека им. Толстого,2
849,ЦСЛК,1
850,Подвал Бродячей Собаки,0
851,Театр поэтов Послушайте!,5
852,"Клуб Новая линия, филиал Пороховской библиотеки",1
853,Библиотека им. Толстого,1
854,"Кинжный магазин ""Мир Печати""",2
855,Подвал Бродячей Собаки,0
856,ЦСЛК,1
857,Борей-Арт,12
858,Государственный музей Царскосельская коллекция,3
859,Борей-Арт,2
860,Подвал Бродячей Собаки,0
861,Театр поэтов Послушайте!,9
862,Библиотека им. Толстого,1
863,Подвал Бродячей Собаки,1
864,Подвал Бродячей Собаки,3
865,Библиотека Маяковского,1
866,Библиотека им. Толстого,1
867,Подвал Бродячей Собаки,10
868,Галерея Кино-Фот-703,1
869,Подвал Бродячей Собаки,2
870,Подвал Бродячей Собаки,1
871,Борей-Арт,1
872,Музей Ахматовой,1
873,ЦСЛК,1
874,ЦСЛК,1
875,Библиотека им. Толстого,1
876,ЦСЛК,1
877,Еврейский общинный центр,1
878,ЦСЛК,1
879,Библиотека им. Толстого,2
880,Музей Ахматовой,2
881,Подвал Бродячей Собаки,4
882,Библиотека Маяковского,2
883,Музей Ахматовой,4
884,Библиотека им. Толстого,1
885,Музей Ахматовой,0
886,Дом ученых,1
887,Музей Ахматовой,1
888,Филологический факультет СПбГУ,2
889,Музей Ахматовой,1
890,Библиотека им. Толстого,1
891,Музей Ахматовой,1
892,Подвал Бродячей Собаки,1
893,Музей Достоевского,0
894,Дом журналиста,1
895,ЦСЛК,1
896,Quo Vadis!?,1
897,Музей Ахматовой,1
898,Библиотека им. Толстого,1
899,Театр поэтов Послушайте!,0
900,Музей Ахматовой,3
901,Борей-Арт,2
902,Союз писателей России,2
903,Музей Ахматовой,8
904,Дом журналиста,0
905,Музей Ахматовой,10
906,Музей Ахматовой,7
907,ЦСЛК,2
908,Библиотека им. Толстого,1
909,Еврейский общинный центр,1
910,Театр поэтов Послушайте!,6
911,Музей Ахматовой,2
912,Музей Ахматовой,1
913,Филологический факультет СПбГУ,2
914,Дом журналиста,3
915,Дом журналиста,3
916,Дом ученых,1
917,Библиотека им. Толстого,2
918,Музей Ахматовой,20
919,Театр поэтов Послушайте!,5
920,Библиотека им. Толстого,1
921,Театр поэтов Послушайте!,10
